timestamp,team_id,resolution_time,customer_satisfaction,status
10/01/2024 15:12:31,team3,164.0,4.0,4
10/03/2024 20:21:19,team3,,2.0,4
10/07/2024 03:24:51,team3,252.0,1.0,4
10/04/2024 12:07:51,team3,176.0,1.0,3
10/07/2024 16:31:47,team3,,,2
10/05/2024 22:51:45,team3,48.0,4.0,5
10/08/2024 07:50:31,team3,272.0,1.0,0
10/09/2024 06:40:06,team3,,3.0,4
10/07/2024 06:28:50,team3,226.0,,3
10/07/2024 19:18:27,team3,,1.0,5
10/03/2024 15:28:20,team3,297.0,1.0,5
10/06/2024 21:51:28,team3,293.0,5.0,0
10/07/2024 18:07:22,team3,42.0,,3
10/08/2024 15:32:45,team3,,3.0,0
10/06/2024 00:37:45,team3,,,4
10/04/2024 11:04:46,team3,,2.0,4
10/03/2024 04:45:47,team3,109.0,4.0,5
10/04/2024 21:16:18,team3,180.0,3.0,0
10/02/2024 14:24:13,team3,,4.0,0
10/02/2024 01:31:45,team3,181.0,3.0,2
10/07/2024 12:07:33,team3,5.0,1.0,2
10/03/2024 13:21:34,team3,105.0,,2
10/04/2024 10:25:32,team3,,1.0,4
10/05/2024 16:58:50,team3,234.0,2.0,3
10/04/2024 10:16:25,team3,238.0,,5
10/07/2024 22:43:35,team3,240.0,1.0,2
10/08/2024 18:55:39,team3,14.0,5.0,0
10/02/2024 18:40:15,team3,,2.0,4
10/05/2024 07:31:00,team3,270.0,,2
10/02/2024 18:36:09,team3,,,0
10/01/2024 02:10:22,team3,96.0,1.0,5
10/08/2024 03:11:05,team3,94.0,2.0,3
10/01/2024 06:33:46,team3,291.0,,1
10/09/2024 02:22:52,team3,,,1
10/03/2024 07:37:36,team3,,3.0,3
10/09/2024 12:31:14,team3,74.0,2.0,5
10/03/2024 08:54:56,team3,,2.0,0
10/03/2024 01:24:47,team3,40.0,1.0,4
10/04/2024 19:05:22,team3,12.0,3.0,5
10/08/2024 01:22:23,team3,200.0,5.0,1
10/06/2024 10:15:02,team3,,,5
10/01/2024 01:49:33,team3,,3.0,0
10/04/2024 03:37:55,team3,274.0,1.0,1
10/08/2024 16:28:54,team3,,1.0,3
10/03/2024 14:32:50,team3,,5.0,2
10/02/2024 08:40:16,team3,180.0,2.0,5
10/05/2024 13:59:29,team3,84.0,5.0,5
10/06/2024 18:56:36,team3,151.0,,0
10/08/2024 02:13:29,team3,237.0,1.0,4
10/06/2024 03:42:52,team3,247.0,1.0,5
10/02/2024 07:23:29,team3,,1.0,5
10/02/2024 15:17:46,team3,236.0,,4
10/06/2024 04:34:05,team3,273.0,2.0,5
10/08/2024 10:48:59,team3,,3.0,3
10/01/2024 00:46:24,team3,71.0,5.0,2
10/05/2024 19:07:53,team3,,2.0,2
10/05/2024 22:40:28,team3,86.0,3.0,4
10/03/2024 05:13:34,team3,,,1
10/09/2024 00:16:26,team3,,,1
10/02/2024 21:42:27,team3,,2.0,4
10/01/2024 14:38:25,team3,,,2
10/05/2024 02:29:23,team3,,,1
10/07/2024 01:02:06,team3,188.0,5.0,4
10/08/2024 20:30:48,team3,,2.0,4
10/07/2024 07:43:08,team3,277.0,3.0,1
10/07/2024 11:15:15,team3,269.0,,4
10/04/2024 13:58:40,team3,,4.0,5
10/07/2024 07:16:59,team3,46.0,4.0,4
10/07/2024 17:47:30,team3,,1.0,1
10/05/2024 08:45:27,team3,,5.0,5
10/04/2024 08:31:31,team3,,1.0,1
10/08/2024 09:53:02,team3,228.0,1.0,0
10/07/2024 13:26:39,team3,,,3
10/01/2024 16:37:30,team3,60.0,,2
10/08/2024 15:07:32,team3,,,0
10/08/2024 06:25:53,team3,295.0,3.0,1
10/04/2024 04:35:20,team3,,4.0,1
10/03/2024 16:31:34,team3,95.0,,3
10/02/2024 20:03:00,team3,,,5
10/02/2024 21:00:49,team3,,2.0,1
10/03/2024 12:03:56,team3,43.0,,3
10/06/2024 12:36:18,team3,188.0,,4
10/07/2024 03:54:31,team3,248.0,5.0,5
10/09/2024 14:01:09,team3,,,4
10/07/2024 14:45:48,team3,231.0,5.0,2
10/01/2024 13:04:31,team3,74.0,3.0,2
10/04/2024 11:49:45,team3,276.0,3.0,5
10/03/2024 15:32:48,team3,171.0,2.0,2
10/08/2024 14:12:21,team3,,3.0,1
10/04/2024 12:01:40,team3,,5.0,3
10/08/2024 06:37:48,team3,274.0,2.0,3
10/02/2024 22:52:38,team3,204.0,1.0,5
10/06/2024 02:41:49,team3,52.0,1.0,2
10/04/2024 10:09:20,team3,192.0,1.0,3
10/03/2024 18:29:44,team3,229.0,5.0,0
10/06/2024 03:20:12,team3,,,3
10/08/2024 05:26:04,team3,244.0,,5
10/02/2024 16:01:41,team3,,,5
10/06/2024 00:24:59,team3,98.0,,1
10/08/2024 21:54:40,team3,,,2
