timestamp,team_id,resolution_time,customer_satisfaction,status
10/07/2024 04:32:24,team4,,,1
10/09/2024 02:35:54,team4,98.0,3.0,4
10/07/2024 00:16:03,team4,,5.0,1
10/08/2024 10:15:49,team4,112.0,,1
10/07/2024 14:57:17,team4,270.0,,2
10/06/2024 23:48:03,team4,75.0,,2
10/04/2024 09:11:19,team4,179.0,,1
10/08/2024 17:26:25,team4,286.0,4.0,3
10/03/2024 09:19:51,team4,185.0,,3
10/05/2024 06:50:49,team4,94.0,4.0,2
10/08/2024 06:13:33,team4,218.0,5.0,0
10/04/2024 07:58:06,team4,,2.0,5
10/03/2024 05:42:46,team4,119.0,2.0,2
10/06/2024 23:42:58,team4,211.0,4.0,0
10/07/2024 03:19:28,team4,,2.0,0
10/06/2024 17:48:50,team4,241.0,2.0,5
10/01/2024 10:50:29,team4,64.0,2.0,0
10/08/2024 23:23:28,team4,,,0
10/07/2024 08:27:26,team4,32.0,4.0,3
10/07/2024 23:26:43,team4,244.0,,2
10/02/2024 07:47:23,team4,,2.0,3
10/03/2024 13:38:19,team4,60.0,,1
10/04/2024 02:57:08,team4,83.0,2.0,5
10/07/2024 06:25:55,team4,262.0,,3
10/02/2024 22:10:17,team4,,,1
10/04/2024 07:53:08,team4,,,0
10/06/2024 21:46:37,team4,224.0,5.0,1
10/03/2024 23:13:38,team4,19.0,2.0,1
10/05/2024 04:08:44,team4,260.0,3.0,2
10/09/2024 11:02:09,team4,83.0,,5
10/06/2024 12:13:11,team4,249.0,4.0,2
10/02/2024 08:30:17,team4,245.0,,0
10/03/2024 15:48:11,team4,,4.0,5
10/06/2024 21:09:26,team4,111.0,,0
10/02/2024 12:47:22,team4,175.0,2.0,4
10/02/2024 02:55:07,team4,259.0,4.0,5
10/04/2024 18:22:34,team4,,5.0,0
10/04/2024 20:08:27,team4,,3.0,5
10/04/2024 04:57:50,team4,,3.0,4
10/05/2024 00:00:35,team4,263.0,2.0,3
10/02/2024 17:29:58,team4,171.0,2.0,3
10/08/2024 22:02:00,team4,10.0,1.0,2
10/07/2024 17:20:42,team4,28.0,,5
10/01/2024 13:33:09,team4,,5.0,4
10/05/2024 19:12:36,team4,,1.0,2
10/01/2024 12:07:01,team4,52.0,3.0,5
10/02/2024 15:38:15,team4,231.0,,4
10/08/2024 13:40:10,team4,241.0,,5
10/04/2024 17:39:54,team4,64.0,,5
10/02/2024 03:52:22,team4,269.0,,2
10/06/2024 07:53:57,team4,53.0,,0
10/09/2024 04:47:45,team4,,,5
10/01/2024 20:20:14,team4,216.0,1.0,4
10/05/2024 15:03:17,team4,230.0,5.0,0
10/04/2024 22:52:18,team4,186.0,,2
10/08/2024 16:44:46,team4,98.0,,4
10/06/2024 15:29:02,team4,,3.0,2
10/06/2024 11:07:59,team4,,,0
10/04/2024 10:10:38,team4,,3.0,1
10/01/2024 22:10:07,team4,271.0,5.0,4
10/06/2024 19:32:08,team4,,1.0,4
10/05/2024 01:54:01,team4,,4.0,1
10/09/2024 01:55:04,team4,95.0,2.0,4
10/09/2024 06:16:37,team4,,2.0,3
10/01/2024 10:14:37,team4,,2.0,3
10/08/2024 17:33:49,team4,48.0,2.0,3
10/03/2024 14:14:08,team4,238.0,,0
10/04/2024 21:45:21,team4,120.0,,4
10/03/2024 17:33:40,team4,,,1
10/06/2024 03:52:26,team4,298.0,2.0,0
10/09/2024 01:34:12,team4,69.0,,3
10/02/2024 10:35:31,team4,,4.0,0
10/08/2024 01:51:39,team4,,1.0,5
10/06/2024 04:05:35,team4,,,1
10/02/2024 23:09:18,team4,79.0,1.0,4
10/07/2024 01:48:02,team4,282.0,,2
10/07/2024 07:44:09,team4,170.0,,3
10/04/2024 12:55:28,team4,,1.0,5
10/04/2024 22:09:33,team4,,,0
10/02/2024 05:36:02,team4,,5.0,0
10/05/2024 17:46:19,team4,175.0,1.0,2
10/05/2024 20:26:21,team4,96.0,,4
10/02/2024 19:34:39,team4,,1.0,2
10/02/2024 15:12:57,team4,,1.0,1
10/05/2024 13:45:48,team4,158.0,,5
10/02/2024 07:46:26,team4,76.0,,5
10/09/2024 13:38:49,team4,253.0,4.0,5
10/03/2024 23:50:08,team4,,1.0,2
10/04/2024 05:45:14,team4,228.0,2.0,1
10/03/2024 06:46:18,team4,90.0,2.0,2
10/08/2024 20:58:03,team4,66.0,,4
10/06/2024 21:43:08,team4,,,3
10/08/2024 16:49:19,team4,56.0,,1
10/02/2024 17:10:23,team4,,4.0,3
10/01/2024 05:55:47,team4,,,1
10/06/2024 20:25:12,team4,83.0,,4
10/01/2024 22:28:47,team4,15.0,,2
10/05/2024 23:08:35,team4,235.0,,3
10/07/2024 12:09:04,team4,279.0,,5
10/06/2024 02:13:56,team4,238.0,5.0,4
